,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,,,,,,,,,,,,,,,,,,
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,WIN: 90 - -1
solve5.py-second,,,,,,,,,,,,,,,,,,
solve6.py-first,,,,,,,,,,,,,,,,,,
solve6.py-second,,,,,,,,,,,,,,,,,,
